<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170415,000000,59.6480000,59.6762000,59.5708000,59.6270000,11
20170416,000000,59.7491000,59.8080000,59.6560000,59.7728000,63
20170417,000000,59.7960000,60.2850000,59.3460000,59.3690000,195645
20170418,000000,59.4990000,60.3610000,59.3210000,60.3020000,296238
20170419,000000,60.3363000,60.8100000,59.9380000,60.4840000,310278
20170420,000000,60.5650000,60.7290000,60.0430000,60.0990000,287560
20170421,000000,60.1830000,60.7697000,60.0060000,60.6130000,276036
20170422,000000,60.5830000,60.7690000,60.5830000,60.7690000,8
20170423,000000,61.0463000,61.6420000,60.3240000,61.1538000,295
20170424,000000,61.2590000,61.5630000,60.3210000,60.5000000,331328
20170425,000000,60.5010000,61.5540000,60.4330000,61.2954000,302613
20170426,000000,61.2780000,62.3180000,61.1990000,62.1980000,309638
20170427,000000,62.2400000,62.7200000,61.7100000,61.9330000,271416
20170428,000000,61.9330000,62.5210000,61.7920000,61.9809000,248269
20170429,000000,62.0650000,62.1487000,61.9763000,62.1487000,14
20170430,000000,62.0819000,62.2090000,61.9819000,61.9819000,79
20170501,000000,62.0790000,62.1960000,61.7221000,62.0630000,116418
20170502,000000,62.0630000,62.4460000,61.9380000,62.2940000,262386
20170503,000000,62.3380000,62.6000000,62.0360000,62.2300000,273562
20170504,000000,62.3620000,64.1680000,62.3090000,64.0390000,304242
20170505,000000,64.0830000,64.8860000,63.5250000,63.6568000,285348
20170506,000000,63.7220000,63.7220000,63.6740000,63.6740000,8
20170507,000000,63.6047000,64.2183000,63.6047000,63.8517000,435
20170508,000000,63.9990000,63.9990000,63.4060000,63.6130000,181272
20170509,000000,63.5100000,63.8337000,63.2360000,63.4880000,226199
20170510,000000,63.4880000,63.5740000,62.3030000,62.4260000,291038
20170511,000000,62.4260000,62.7080000,61.7920000,61.9550000,302730
20170512,000000,61.9690000,62.5650000,61.8290000,62.2330000,244854
20170513,000000,62.3020000,62.3780000,62.1055000,62.3780000,10
20170514,000000,62.2540000,62.5670000,62.2370000,62.3473000,272
20170515,000000,62.4340000,62.4340000,61.5870000,61.7960000,270789
